epoch,train_loss,val_loss,val_acc,val_macro_f1
98,0.027924,1.607589,0.776086,0.739383
99,0.029597,1.680180,0.766096,0.732428
100,0.028350,1.863432,0.725817,0.688792
1,1.225222,1.159789,0.542499,0.507250
2,0.769057,0.960285,0.637171,0.584636
3,0.624719,0.965393,0.668887,0.616308
4,0.543244,1.116692,0.654932,0.572972
5,0.463037,0.679473,0.778306,0.741270
6,0.405616,0.922201,0.721852,0.663028
7,0.357898,0.957098,0.729623,0.705622
8,0.316980,0.827707,0.743102,0.706653
9,0.281327,0.932213,0.752299,0.721275
10,0.254323,0.897979,0.780685,0.742482
11,0.236210,0.892852,0.776245,0.738880
12,0.216405,0.984878,0.746749,0.708501
13,0.198242,0.955096,0.771487,0.735616
14,0.186632,1.227174,0.714240,0.668371
15,0.173593,1.004740,0.741516,0.707773
16,0.161800,1.373380,0.714082,0.667446
17,0.150411,1.155124,0.739613,0.696669
18,0.140846,1.172781,0.741675,0.705087
19,0.129672,1.145396,0.760704,0.727395
20,0.123373,1.423236,0.684269,0.645400
21,0.119141,1.294717,0.757215,0.716161
22,0.113026,1.121252,0.782747,0.747089
23,0.104766,1.405981,0.745163,0.699591
24,0.098499,1.543959,0.715350,0.672731
25,0.099584,1.524823,0.752458,0.706645
26,0.091741,1.253272,0.768792,0.729280
27,0.085497,1.417457,0.750555,0.713342
28,0.080087,1.189548,0.770060,0.735174
29,0.077247,1.263131,0.753568,0.715610
30,0.076832,1.317883,0.763083,0.726890
31,0.073792,1.372126,0.769109,0.726491
32,0.068793,1.355546,0.762290,0.725931
33,0.066962,1.575331,0.735649,0.695792
34,0.067741,1.497027,0.758325,0.719756
35,0.061902,1.390845,0.751824,0.722315
36,0.059767,1.496050,0.742309,0.706948
37,0.057116,1.836835,0.714716,0.682536
38,0.057033,1.315881,0.753092,0.716803
39,0.053839,1.613857,0.732794,0.691501
40,0.051959,1.538698,0.763876,0.725298
41,0.039108,1.577639,0.743419,0.700619
42,0.038919,1.504902,0.737710,0.702180
43,0.036262,1.503686,0.764510,0.724847
44,0.033715,1.591890,0.757533,0.717884
45,0.032952,1.299141,0.781478,0.746303
46,0.034473,1.366374,0.762448,0.727921
47,0.033049,1.460201,0.751348,0.712105
48,0.033909,1.409192,0.758801,0.722346
49,0.033220,1.333314,0.770853,0.737749
50,0.032433,1.394284,0.773708,0.736234
51,0.032992,1.407774,0.752617,0.717485
52,0.033085,1.634488,0.739772,0.701204
53,0.029968,1.280501,0.779099,0.744984
54,0.032578,1.760088,0.749604,0.712200
55,0.031695,1.451364,0.765144,0.728231
56,0.030657,1.306921,0.782747,0.747271
57,0.032346,1.557228,0.760863,0.725361
58,0.030476,2.069573,0.739137,0.686662
